source_row,employee_id,reason,raw_values
25,E124,Amount is not a valid number,"{'employee_id': 'E124', 'date': '2026-09-25', 'category': 'Training', 'amount': 'not-a-number', 'description': 'Presentation demo item 24', 'approval_status': 'rejected'}"
26,E125,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E125', 'date': 'invalid-date', 'category': 'Travel', 'amount': '50.00', 'description': 'Presentation demo item 25', 'approval_status': 'approved'}"
28,E127,Amount is not a valid number,"{'employee_id': 'E127', 'date': '2026-09-28', 'category': 'Office', 'amount': 'not-a-number', 'description': 'Presentation demo item 27', 'approval_status': 'approved'}"
29,E128,Amount must be greater than zero,"{'employee_id': 'E128', 'date': '2026-09-01', 'category': 'Software', 'amount': '-25.00', 'description': 'Presentation demo item 28', 'approval_status': 'rejected'}"
31,E130,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E130', 'date': 'invalid-date', 'category': 'Travel', 'amount': 'not-a-number', 'description': 'Presentation demo item 30', 'approval_status': 'approved'}"
33,E132,Expense rejected by approval status: rejected,"{'employee_id': 'E132', 'date': '2026-09-05', 'category': 'Office', 'amount': '309.00', 'description': 'Presentation demo item 32', 'approval_status': 'rejected'}"
34,E133,Amount is not a valid number,"{'employee_id': 'E133', 'date': '2026-09-06', 'category': 'Software', 'amount': 'not-a-number', 'description': 'Presentation demo item 33', 'approval_status': 'approved'}"
36,E135,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E135', 'date': 'invalid-date', 'category': 'Travel', 'amount': '-25.00', 'description': 'Presentation demo item 35', 'approval_status': 'approved'}"
37,E136,Amount is not a valid number,"{'employee_id': 'E136', 'date': '2026-09-09', 'category': 'Meals', 'amount': 'not-a-number', 'description': 'Presentation demo item 36', 'approval_status': 'rejected'}"
40,E139,Amount is not a valid number,"{'employee_id': 'E139', 'date': '2026-09-12', 'category': 'Training', 'amount': 'not-a-number', 'description': 'Presentation demo item 39', 'approval_status': 'approved'}"
41,E140,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E140', 'date': 'invalid-date', 'category': 'Travel', 'amount': '605.00', 'description': 'Presentation demo item 40', 'approval_status': 'rejected'}"
43,E142,Amount must be greater than zero,"{'employee_id': 'E142', 'date': '2026-09-15', 'category': 'Office', 'amount': '-25.00', 'description': 'Presentation demo item 42', 'approval_status': 'approved'}"
45,E144,Expense rejected by approval status: rejected,"{'employee_id': 'E144', 'date': '2026-09-17', 'category': 'Training', 'amount': '753.00', 'description': 'Presentation demo item 44', 'approval_status': 'rejected'}"
46,E145,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E145', 'date': 'invalid-date', 'category': 'Travel', 'amount': 'not-a-number', 'description': 'Presentation demo item 45', 'approval_status': 'approved'}"
49,E148,Amount is not a valid number,"{'employee_id': 'E148', 'date': '2026-09-21', 'category': 'Software', 'amount': 'not-a-number', 'description': 'Presentation demo item 48', 'approval_status': 'rejected'}"
50,E149,Amount must be greater than zero,"{'employee_id': 'E149', 'date': '2026-09-22', 'category': 'Training', 'amount': '-25.00', 'description': 'Presentation demo item 49', 'approval_status': 'approved'}"
51,E150,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E150', 'date': 'invalid-date', 'category': 'Travel', 'amount': '75.00', 'description': 'Presentation demo item 50', 'approval_status': 'approved'}"
52,E151,Amount is not a valid number,"{'employee_id': 'E151', 'date': '2026-09-24', 'category': 'Meals', 'amount': 'not-a-number', 'description': 'Presentation demo item 51', 'approval_status': 'approved'}"
53,E152,Expense rejected by approval status: rejected,"{'employee_id': 'E152', 'date': '2026-09-25', 'category': 'Office', 'amount': '149.00', 'description': 'Presentation demo item 52', 'approval_status': 'rejected'}"
55,E154,Amount is not a valid number,"{'employee_id': 'E154', 'date': '2026-09-27', 'category': 'Training', 'amount': 'not-a-number', 'description': 'Presentation demo item 54', 'approval_status': 'approved'}"
56,E155,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E155', 'date': 'invalid-date', 'category': 'Travel', 'amount': '260.00', 'description': 'Presentation demo item 55', 'approval_status': 'approved'}"
57,E156,Amount must be greater than zero,"{'employee_id': 'E156', 'date': '2026-09-01', 'category': 'Meals', 'amount': '-25.00', 'description': 'Presentation demo item 56', 'approval_status': 'rejected'}"
58,E157,Amount is not a valid number,"{'employee_id': 'E157', 'date': '2026-09-02', 'category': 'Office', 'amount': 'not-a-number', 'description': 'Presentation demo item 57', 'approval_status': 'approved'}"
61,E160,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E160', 'date': 'invalid-date', 'category': 'Travel', 'amount': 'not-a-number', 'description': 'Presentation demo item 60', 'approval_status': 'rejected'}"
64,E163,Amount must be greater than zero,"{'employee_id': 'E163', 'date': '2026-09-08', 'category': 'Software', 'amount': '-25.00', 'description': 'Presentation demo item 63', 'approval_status': 'approved'}"
65,E164,Expense rejected by approval status: rejected,"{'employee_id': 'E164', 'date': '2026-09-09', 'category': 'Training', 'amount': '593.00', 'description': 'Presentation demo item 64', 'approval_status': 'rejected'}"
66,E165,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E165', 'date': 'invalid-date', 'category': 'Travel', 'amount': '630.00', 'description': 'Presentation demo item 65', 'approval_status': 'approved'}"
67,E166,Amount is not a valid number,"{'employee_id': 'E166', 'date': '2026-09-11', 'category': 'Meals', 'amount': 'not-a-number', 'description': 'Presentation demo item 66', 'approval_status': 'approved'}"
69,E168,Expense rejected by approval status: rejected,"{'employee_id': 'E168', 'date': '2026-09-13', 'category': 'Software', 'amount': '741.00', 'description': 'Presentation demo item 68', 'approval_status': 'rejected'}"
70,E169,Amount is not a valid number,"{'employee_id': 'E169', 'date': '2026-09-14', 'category': 'Training', 'amount': 'not-a-number', 'description': 'Presentation demo item 69', 'approval_status': 'approved'}"
71,E170,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E170', 'date': 'invalid-date', 'category': 'Travel', 'amount': '-25.00', 'description': 'Presentation demo item 70', 'approval_status': 'approved'}"
