source_row,employee_id,reason,raw_values
68,E367,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E367', 'date': 'invalid-date', 'category': 'Office', 'amount': '-25.00', 'description': 'Presentation log item 67', 'approval_status': 'rejected'}"
69,E368,Amount must be greater than zero,"{'employee_id': 'E368', 'date': '2026-09-13', 'category': 'Software', 'amount': '-25.00', 'description': 'Presentation log item 68', 'approval_status': 'declined'}"
70,E369,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E369', 'date': 'invalid-date', 'category': 'Training', 'amount': 'not-a-number', 'description': 'Presentation log item 69', 'approval_status': 'rejected'}"
71,E370,Amount must be greater than zero,"{'employee_id': 'E370', 'date': '2026-09-15', 'category': 'Travel', 'amount': '-25.00', 'description': 'Presentation log item 70', 'approval_status': 'rejected'}"
72,E371,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E371', 'date': 'invalid-date', 'category': 'Meals', 'amount': '-25.00', 'description': 'Presentation log item 71', 'approval_status': 'rejected'}"
73,E372,Amount is not a valid number,"{'employee_id': 'E372', 'date': '2026-09-17', 'category': 'Office', 'amount': 'not-a-number', 'description': 'Presentation log item 72', 'approval_status': 'declined'}"
74,E373,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E373', 'date': 'invalid-date', 'category': 'Software', 'amount': '-25.00', 'description': 'Presentation log item 73', 'approval_status': 'rejected'}"
75,E374,Amount must be greater than zero,"{'employee_id': 'E374', 'date': '2026-09-19', 'category': 'Training', 'amount': '-25.00', 'description': 'Presentation log item 74', 'approval_status': 'rejected'}"
76,E375,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E375', 'date': 'invalid-date', 'category': 'Travel', 'amount': 'not-a-number', 'description': 'Presentation log item 75', 'approval_status': 'rejected'}"
77,E376,Amount must be greater than zero,"{'employee_id': 'E376', 'date': '2026-09-21', 'category': 'Meals', 'amount': '-25.00', 'description': 'Presentation log item 76', 'approval_status': 'declined'}"
78,E377,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E377', 'date': 'invalid-date', 'category': 'Office', 'amount': '-25.00', 'description': 'Presentation log item 77', 'approval_status': 'rejected'}"
79,E378,Amount is not a valid number,"{'employee_id': 'E378', 'date': '2026-09-23', 'category': 'Software', 'amount': 'not-a-number', 'description': 'Presentation log item 78', 'approval_status': 'rejected'}"
80,E379,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E379', 'date': 'invalid-date', 'category': 'Training', 'amount': '-25.00', 'description': 'Presentation log item 79', 'approval_status': 'rejected'}"
81,E380,Amount must be greater than zero,"{'employee_id': 'E380', 'date': '2026-09-25', 'category': 'Travel', 'amount': '-25.00', 'description': 'Presentation log item 80', 'approval_status': 'declined'}"
